31-05-2021 21:24:50 | WRN  | line 0 |  |  | QSqlDatabasePrivate::addDatabase: duplicate connection name 'qt_sql_default_connection', old connection removed.

31-05-2021 21:24:50 | WRN  | line 0 |  |  | QSqlDatabasePrivate::addDatabase: duplicate connection name 'qt_sql_default_connection', old connection removed.

31-05-2021 21:24:50 | WRN  | line 0 |  |  | QSqlDatabasePrivate::addDatabase: duplicate connection name 'qt_sql_default_connection', old connection removed.

31-05-2021 21:25:03 | WRN  | line 0 |  |  | QSqlDatabasePrivate::addDatabase: duplicate connection name 'qt_sql_default_connection', old connection removed.

31-05-2021 21:25:10 | WRN  | line 0 |  |  | QSqlDatabasePrivate::addDatabase: duplicate connection name 'qt_sql_default_connection', old connection removed.

31-05-2021 21:25:15 | WRN  | line 0 |  |  | QSqlDatabasePrivate::addDatabase: duplicate connection name 'qt_sql_default_connection', old connection removed.

31-05-2021 21:25:54 | WRN  | line 0 |  |  | QSqlDatabasePrivate::addDatabase: duplicate connection name 'qt_sql_default_connection', old connection removed.

31-05-2021 21:25:55 | WRN  | line 0 |  |  | QSqlDatabasePrivate::addDatabase: duplicate connection name 'qt_sql_default_connection', old connection removed.

31-05-2021 21:25:55 | WRN  | line 0 |  |  | QSqlDatabasePrivate::addDatabase: duplicate connection name 'qt_sql_default_connection', old connection removed.

31-05-2021 21:25:55 | WRN  | line 0 |  |  | QSqlDatabasePrivate::addDatabase: duplicate connection name 'qt_sql_default_connection', old connection removed.

